certification_id,certificate_name,employee_id,issued_by,validity
ID_CERT_001,Project Management Professional,ID_0007,PMI,2025-04-15T00:00:00
ID_CERT_002,Certified Information Systems Security Professional,ID_0014,(ISC)Â²,2026-11-30T00:00:00
ID_CERT_003,Certified Scrum Master,ID_0034,Scrum Alliance,2024-09-20T00:00:00
ID_CERT_004,Microsoft Certified: Azure Fundamentals,ID_0008,Microsoft,2025-01-10T00:00:00
ID_CERT_005,Google Cloud Certified - Associate Cloud Engineer,ID_0035,Google,2026-03-05T00:00:00
ID_CERT_006,Certified Ethical Hacker,ID_0036,EC-Council,2025-07-22T00:00:00
ID_CERT_007,CompTIA Security+,ID_0086,CompTIA,2024-12-01T00:00:00
ID_CERT_008,Amazon Web Services Certified Solutions Architect,ID_0055,AWS,2026-08-14T00:00:00
ID_CERT_009,ITIL Foundation,ID_0076,AXELOS,2025-05-18T00:00:00
ID_CERT_010,Certified Data Professional,ID_0007,ICC,2027-02-28T00:00:00
ID_CERT_011,Oracle Certified Professional,ID_0060,Oracle,2025-10-12T00:00:00
ID_CERT_012,Certified Business Analysis Professional,ID_0065,IIBA,2026-06-30T00:00:00
ID_CERT_013,Google Analytics Individual Qualification,ID_0025,Google,2024-11-15T00:00:00
ID_CERT_014,Certified Kubernetes Administrator,ID_00556,CNCF,2025-09-09T00:00:00
ID_CERT_015,Salesforce Certified Administrator,ID_0067,Salesforce,2026-01-20T00:00:00
ID_CERT_016,Certified Information Security Manager,ID_0053,ISACA,2025-03-25T00:00:00
ID_CERT_017,Adobe Certified Expert,ID_0023,Adobe,2027-07-07T00:00:00
ID_CERT_018,Certified Network Professional,ID_0026,Cisco,2026-04-11T00:00:00
ID_CERT_019,Google Cloud Certified - Professional Data Engineer,ID_0009,Google,2025-08-30T00:00:00
ID_CERT_020,Microsoft Certified: Azure Solutions Architect Expert,ID_0075,Microsoft,2026-12-19T00:00:00
ID_CERT_021,Certified Six Sigma Green Belt,ID_0042,ASQ,2025-02-14T00:00:00
ID_CERT_022,Certified Information Privacy Professional,ID_0016,IAPP,2027-01-05T00:00:00
ID_CERT_023,Certified Software Development Professional,ID_0090,IEEE,2026-09-27T00:00:00
ID_CERT_024,Certified Database Administrator,ID_0011,Oracle,2025-06-16T00:00:00
ID_CERT_025,Google Cloud Certified - Professional Cloud Architect,ID_0079,Google,2026-10-22T00:00:00
ID_CERT_026,Certified Agile Leadership,ID_0028,Scrum Alliance,2025-11-03T00:00:00
ID_CERT_027,Microsoft Certified: Power Platform Fundamentals,ID_0006,Microsoft,2027-03-12T00:00:00
ID_CERT_028,Certified DevOps Engineer,ID_0006,AWS,2026-07-29T00:00:00
ID_CERT_029,Certified Information Systems Auditor,ID_0018,ISACA,2025-05-04T00:00:00
ID_CERT_030,Certified Ethical Hacker,ID_0079,EC-Council,2026-02-17T00:00:00
ID_CERT_031,Project Management Professional,ID_0028,PMI,2027-08-21T00:00:00
ID_CERT_032,Certified Scrum Product Owner,ID_0022,Scrum Alliance,2025-12-13T00:00:00
ID_CERT_033,Google Cloud Certified - Associate Cloud Engineer,ID_0003,Google,2026-01-28T00:00:00
ID_CERT_034,Microsoft Certified: Azure Fundamentals,ID_0085,Microsoft,2025-04-09T00:00:00
ID_CERT_035,CompTIA Security+,ID_0027,CompTIA,2027-06-15T00:00:00
ID_CERT_036,Amazon Web Services Certified Solutions Architect,ID_0033,AWS,2026-11-02T00:00:00
ID_CERT_037,ITIL Foundation,ID_0043,AXELOS,2025-09-18T00:00:00
ID_CERT_038,Certified Data Professional,ID_0091,ICC,2027-05-23T00:00:00
ID_CERT_039,Oracle Certified Professional,ID_0088,Oracle,2026-03-14T00:00:00
ID_CERT_040,Certified Business Analysis Professional,ID_0072,IIBA,2025-07-30T00:00:00
ID_CERT_041,Google Analytics Individual Qualification,ID_0099,Google,2026-12-05T00:00:00
ID_CERT_042,Certified Kubernetes Administrator,ID_0055,CNCF,2027-02-19T00:00:00
ID_CERT_043,Salesforce Certified Administrator,ID_0058,Salesforce,2025-10-27T00:00:00
ID_CERT_044,Certified Information Security Manager,ID_0083,ISACA,2026-08-08T00:00:00
ID_CERT_045,Adobe Certified Expert,ID_0088,Adobe,2027-04-16T00:00:00
ID_CERT_046,Certified Network Professional,ID_0088,Cisco,2025-11-29T00:00:00
ID_CERT_047,Google Cloud Certified - Professional Data Engineer,ID_0072,Google,2026-05-21T00:00:00
ID_CERT_048,Microsoft Certified: Azure Solutions Architect Expert,ID_0084,Microsoft,2027-01-11T00:00:00
ID_CERT_049,Certified Six Sigma Green Belt,ID_0082,ASQ,2026-09-03T00:00:00
ID_CERT_050,Certified Information Privacy Professional,ID_0009,IAPP,2025-06-25T00:00:00
ID_CERT_051,Certified Software Development Professional,ID_0098,IEEE,2027-03-30T00:00:00
ID_CERT_052,Certified Database Administrator,ID_0033,Oracle,2026-12-07T00:00:00
ID_CERT_053,Google Cloud Certified - Professional Cloud Architect,ID_0045,Google,2025-08-19T00:00:00
ID_CERT_054,Certified Agile Leadership,ID_0079,Scrum Alliance,2026-04-28T00:00:00
ID_CERT_055,Microsoft Certified: Power Platform Fundamentals,ID_0096,Microsoft,2027-09-14T00:00:00
ID_CERT_056,Certified DevOps Engineer,ID_0089,AWS,2025-11-06T00:00:00
ID_CERT_057,Certified Information Systems Auditor,ID_0016,ISACA,2026-07-17T00:00:00
ID_CERT_058,Certified Ethical Hacker,ID_0017,EC-Council,2027-05-02T00:00:00
ID_CERT_059,Project Management Professional,ID_0047,PMI,2026-10-25T00:00:00
ID_CERT_060,Certified Scrum Product Owner,ID_0004,Scrum Alliance,2025-03-08T00:00:00
ID_CERT_061,Google Cloud Certified - Associate Cloud Engineer,ID_0027,Google,2027-01-29T00:00:00
ID_CERT_062,Microsoft Certified: Azure Fundamentals,ID_0060,Microsoft,2026-06-13T00:00:00
ID_CERT_063,CompTIA Security+,ID_0077,CompTIA,2025-12-22T00:00:00
ID_CERT_064,Amazon Web Services Certified Solutions Architect,ID_0027,AWS,2027-04-04T00:00:00
ID_CERT_065,ITIL Foundation,ID_0006,AXELOS,2026-09-15T00:00:00
ID_CERT_066,Certified Data Professional,ID_0007,ICC,2025-07-27T00:00:00
ID_CERT_067,Oracle Certified Professional,ID_0072,Oracle,2027-02-10T00:00:00
ID_CERT_068,Certified Business Analysis Professional,ID_0076,IIBA,2026-11-23T00:00:00
ID_CERT_069,Google Analytics Individual Qualification,ID_0054,Google,2025-05-19T00:00:00
ID_CERT_070,Certified Kubernetes Administrator,ID_0024,CNCF,2027-08-01T00:00:00
ID_CERT_071,Salesforce Certified Administrator,ID_0027,Salesforce,2026-03-16T00:00:00
ID_CERT_072,Certified Information Security Manager,ID_0045,ISACA,2025-10-30T00:00:00
ID_CERT_073,Adobe Certified Expert,ID_0066,Adobe,2026-07-12T00:00:00
ID_CERT_074,Certified Network Professional,ID_0039,Cisco,2027-01-24T00:00:00
ID_CERT_075,Google Cloud Certified - Professional Data Engineer,ID_0013,Google,2025-09-06T00:00:00
ID_CERT_076,Microsoft Certified: Azure Solutions Architect Expert,ID_0047,Microsoft,2026-05-18T00:00:00
ID_CERT_077,Certified Six Sigma Green Belt,ID_0001,ASQ,2027-03-03T00:00:00
ID_CERT_078,Certified Information Privacy Professional,ID_0053,IAPP,2025-12-11T00:00:00
ID_CERT_079,Certified Software Development Professional,ID_0023,IEEE,2026-08-22T00:00:00
ID_CERT_080,Certified Database Administrator,ID_0018,Oracle,2027-06-05T00:00:00
ID_CERT_081,Google Cloud Certified - Professional Cloud Architect,ID_0062,Google,2025-11-17T00:00:00
ID_CERT_082,Certified Agile Leadership,ID_0036,Scrum Alliance,2026-02-26T00:00:00
ID_CERT_083,Microsoft Certified: Power Platform Fundamentals,ID_0021,Microsoft,2027-07-09T00:00:00
ID_CERT_084,Certified DevOps Engineer,ID_0042,AWS,2025-10-01T00:00:00
ID_CERT_085,Certified Information Systems Auditor,ID_0007,ISACA,2026-04-14T00:00:00
ID_CERT_086,Certified Ethical Hacker,ID_0036,EC-Council,2027-01-27T00:00:00
ID_CERT_087,Project Management Professional,ID_0058,PMI,2025-08-08T00:00:00
ID_CERT_088,Certified Scrum Product Owner,ID_0001,Scrum Alliance,2026-12-20T00:00:00
ID_CERT_089,Google Cloud Certified - Associate Cloud Engineer,ID_0093,Google,2027-05-03T00:00:00
ID_CERT_090,Microsoft Certified: Azure Fundamentals,ID_0022,Microsoft,2026-09-15T00:00:00
ID_CERT_091,CompTIA Security+,ID_0053,CompTIA,2025-06-28T00:00:00
ID_CERT_092,Amazon Web Services Certified Solutions Architect,ID_0090,AWS,2027-02-09T00:00:00
ID_CERT_093,ITIL Foundation,ID_0054,AXELOS,2026-11-21T00:00:00
ID_CERT_094,Certified Data Professional,ID_0029,ICC,2025-09-02T00:00:00
ID_CERT_095,Oracle Certified Professional,ID_0023,Oracle,2027-04-17T00:00:00
ID_CERT_096,Certified Business Analysis Professional,ID_0039,IIBA,2026-08-29T00:00:00
ID_CERT_097,Google Analytics Individual Qualification,ID_0016,Google,2025-12-10T00:00:00
ID_CERT_098,Certified Kubernetes Administrator,ID_0024,CNCF,2027-06-22T00:00:00
ID_CERT_099,Salesforce Certified Administrator,ID_0066,Salesforce,2026-01-04T00:00:00
ID_CERT_100,Certified Information Security Manager,ID_0092,ISACA,2025-07-16T00:00:00
